epoch,stage,train_loss,val_loss,val_accuracy_0.5,val_recall_malignant_0.5,val_specificity_0.5,val_f1_0.5,val_roc_auc,val_pr_auc,lr
1,head,0.47930825292187995,0.39712024547837,0.8390151515151515,0.7375,0.9236111111111112,0.806378132118451,0.939916087962963,0.9270944979682827,0.001
2,head,0.4315344239931753,0.33690713210539386,0.8674242424242424,0.8333333333333334,0.8958333333333334,0.851063829787234,0.9483506944444444,0.9388862341929712,0.001
3,head,0.4126580632541235,0.3150675937984929,0.8579545454545454,0.8833333333333333,0.8368055555555556,0.8496993987975952,0.9508246527777777,0.9423322042895589,0.001
4,head,0.3570906693842695,0.3814934072169391,0.8295454545454546,0.6958333333333333,0.9409722222222222,0.7877358490566038,0.9475549768518519,0.9363030146973822,0.001
5,head,0.34931765401346415,0.3142236466660644,0.8674242424242424,0.8208333333333333,0.90625,0.8491379310344828,0.9531394675925925,0.9452210392445533,0.001
6,head,0.3550167764290185,0.2873623091163057,0.875,0.9083333333333333,0.8472222222222222,0.8685258964143426,0.9573495370370371,0.9494631301468024,0.001
7,head,0.35262903842444443,0.28307013033014355,0.8806818181818182,0.8541666666666666,0.9027777777777778,0.8668076109936576,0.9606915509259258,0.9538123800648771,0.001
8,head,0.3244843665120047,0.32137218795039435,0.8787878787878788,0.8,0.9444444444444444,0.8571428571428571,0.9580005787037037,0.9503364816011546,0.001
9,fine_tune,0.30824560476683394,0.278015983375636,0.8901515151515151,0.8666666666666667,0.9097222222222222,0.8776371308016878,0.9615162037037037,0.9550196091768235,1e-05
10,fine_tune,0.2920830933445152,0.2666644137917143,0.8882575757575758,0.875,0.8993055555555556,0.8768267223382046,0.9635271990740741,0.9568687409549015,1e-05
11,fine_tune,0.28227640094209927,0.26551596639734326,0.8882575757575758,0.8625,0.9097222222222222,0.8752642706131079,0.9644097222222223,0.9585914146337687,1e-05
12,fine_tune,0.26752788221287804,0.2609918356844873,0.8977272727272727,0.875,0.9166666666666666,0.8860759493670886,0.9656105324074075,0.9596015608285299,1e-05
13,fine_tune,0.2606744254268476,0.2601180338498318,0.8996212121212122,0.8708333333333333,0.9236111111111112,0.8874734607218684,0.966796875,0.9613773128104072,1e-05
14,fine_tune,0.2523996380478808,0.2603425808025129,0.9090909090909091,0.8791666666666667,0.9340277777777778,0.8978723404255319,0.9668113425925925,0.9608463857668664,1e-05
15,fine_tune,0.24684305253781771,0.2536219335866697,0.8996212121212122,0.8833333333333333,0.9131944444444444,0.8888888888888888,0.9674189814814814,0.9615849998754786,1e-05
