epoch,stage,train_loss,val_loss,val_accuracy_0.5,val_recall_malignant_0.5,val_specificity_0.5,val_f1_0.5,val_roc_auc,val_pr_auc,lr
1,head,0.6016516806306066,0.4852100375926856,0.8068181818181818,0.9541666666666667,0.6840277777777778,0.8178571428571428,0.9041811342592593,0.857647045096805,0.001
2,head,0.4881649991243922,0.43525254455479706,0.8200757575757576,0.7666666666666667,0.8645833333333334,0.7948164146868251,0.9122395833333333,0.8769448555217287,0.001
3,head,0.47031353199973724,0.4095445121779586,0.8257575757575758,0.7958333333333333,0.8506944444444444,0.8059071729957806,0.9192708333333334,0.8870644505486287,0.001
4,head,0.43388655370533213,0.38639651825933746,0.8484848484848485,0.8708333333333333,0.8298611111111112,0.8393574297188755,0.9232494212962963,0.8945358900566377,0.001
5,head,0.4307503822348365,0.37914458549383917,0.8503787878787878,0.8833333333333333,0.8229166666666666,0.8429423459244533,0.9257667824074074,0.898661189138342,0.001
6,head,0.4074029297894242,0.373035063346227,0.8541666666666666,0.8708333333333333,0.8402777777777778,0.8444444444444444,0.9279513888888888,0.9061864615426374,0.001
7,head,0.4031474343573894,0.3690781358516578,0.8522727272727273,0.8833333333333333,0.8263888888888888,0.8446215139442231,0.9284577546296297,0.9055786211325553,0.001
8,head,0.40694698971162313,0.364136974919926,0.8541666666666666,0.8875,0.8263888888888888,0.8469184890656064,0.9301070601851852,0.9080178996952534,0.001
9,fine_tune,0.38548229838955056,0.3398803160949187,0.8579545454545454,0.8791666666666667,0.8402777777777778,0.8490945674044266,0.9386574074074074,0.9225320771070482,1e-05
10,fine_tune,0.3491033533417596,0.32964343600200885,0.8674242424242424,0.8583333333333333,0.875,0.8547717842323651,0.9438512731481481,0.930565106792563,1e-05
11,fine_tune,0.3282058788255924,0.31523118822863605,0.8674242424242424,0.8541666666666666,0.8784722222222222,0.8541666666666666,0.9499710648148147,0.9394832345848938,1e-05
12,fine_tune,0.3105935980325177,0.30212322961200366,0.8768939393939394,0.8666666666666667,0.8854166666666666,0.8648648648648649,0.9534722222222222,0.9442339820625762,1e-05
13,fine_tune,0.29993491743118517,0.2970503817001979,0.875,0.8541666666666666,0.8923611111111112,0.8613445378151261,0.9561197916666667,0.9479548737184161,1e-05
14,fine_tune,0.2775864632223499,0.2865122041919015,0.8768939393939394,0.8625,0.8888888888888888,0.8643006263048016,0.9592013888888888,0.9516146964792601,1e-05
15,fine_tune,0.2722569210176617,0.2752964726903222,0.884469696969697,0.8708333333333333,0.8958333333333334,0.872651356993737,0.9630497685185184,0.9567356215662471,1e-05
