epoch,stage,train_loss,val_loss,val_accuracy_0.5,val_recall_malignant_0.5,val_specificity_0.5,val_f1_0.5,val_roc_auc,val_pr_auc,lr
1,head,0.515090529220033,0.346066263588992,0.8484848484848485,0.9125,0.7951388888888888,0.8455598455598455,0.9364149305555555,0.914051682423586,0.001
2,head,0.4754072936466374,0.3552859199769569,0.8503787878787878,0.8041666666666667,0.8888888888888888,0.8301075268817204,0.940379050925926,0.9236124634168945,0.001
3,head,0.44919077433811766,0.36342885277488013,0.8522727272727273,0.7875,0.90625,0.8289473684210527,0.9442708333333334,0.9313411161743942,0.001
4,head,0.4330569291889187,0.42019583104234753,0.821969696969697,0.675,0.9444444444444444,0.7751196172248804,0.9454716435185185,0.9330504809636581,0.001
5,head,0.42601597552166104,0.3502898545879306,0.865530303030303,0.8,0.9201388888888888,0.843956043956044,0.9499855324074075,0.9372912757534492,0.001
6,head,0.41818499035211243,0.3141431122115164,0.8598484848484849,0.8708333333333333,0.8506944444444444,0.8495934959349594,0.9505931712962963,0.9382711330852493,0.001
7,head,0.3959647559085238,0.3040625841328592,0.8522727272727273,0.8833333333333333,0.8263888888888888,0.8446215139442231,0.9522569444444444,0.9376491289412259,0.001
8,head,0.4111952400281001,0.31112148996555444,0.875,0.85,0.8958333333333334,0.8607594936708861,0.9553385416666667,0.9445635539302795,0.001
9,fine_tune,0.3618939769330212,0.2699337850014369,0.884469696969697,0.9,0.8715277777777778,0.8762677484787018,0.9623408564814815,0.9535847776943509,1e-05
10,fine_tune,0.3312822536955291,0.27456797433621954,0.8977272727272727,0.875,0.9166666666666666,0.8860759493670886,0.9640480324074074,0.9562139398080218,1e-05
11,fine_tune,0.31480555046983894,0.2567266537384553,0.8977272727272727,0.9041666666666667,0.8923611111111112,0.889344262295082,0.9672598379629629,0.9617680545565213,1e-05
12,fine_tune,0.29429567183799343,0.25559782665787323,0.9034090909090909,0.875,0.9270833333333334,0.89171974522293,0.9694878472222223,0.9643275951920803,1e-05
13,fine_tune,0.27896682251794125,0.24326690263820416,0.9015151515151515,0.8875,0.9131944444444444,0.891213389121339,0.9703993055555555,0.9651644274451164,1e-05
14,fine_tune,0.2758659474541079,0.2364490989482764,0.9015151515151515,0.9,0.9027777777777778,0.8925619834710744,0.972019675925926,0.9678445694110676,1e-05
15,fine_tune,0.24803339257914062,0.2471473411177144,0.9015151515151515,0.8666666666666667,0.9305555555555556,0.8888888888888888,0.9715856481481482,0.9674947811735695,1e-05
