epoch,stage,train_loss,val_loss,val_accuracy_0.5,val_recall_malignant_0.5,val_specificity_0.5,val_f1_0.5,val_roc_auc,val_pr_auc,lr
1,head,0.5995652252263286,0.4769559448415583,0.8181818181818182,0.8041666666666667,0.8298611111111112,0.8008298755186722,0.899609375,0.8512672469926666,0.001
2,head,0.48820922489469226,0.436365081505342,0.8333333333333334,0.825,0.8402777777777778,0.8181818181818182,0.9109230324074074,0.8775269229497191,0.001
3,head,0.44974461223288925,0.4146996330131184,0.8446969696969697,0.8666666666666667,0.8263888888888888,0.8353413654618473,0.9149305555555556,0.8810179368150803,0.001
4,head,0.4377330688855952,0.40731764471892157,0.8579545454545454,0.8833333333333333,0.8368055555555556,0.8496993987975952,0.9168402777777778,0.8844888208105094,0.001
5,head,0.43680369623637755,0.39816763455217535,0.8503787878787878,0.8833333333333333,0.8229166666666666,0.8429423459244533,0.9172598379629631,0.8833254966001942,0.001
6,head,0.42652959278716246,0.39608917272452154,0.8522727272727273,0.8791666666666667,0.8298611111111112,0.844,0.9211082175925926,0.8927577095425212,0.001
7,head,0.41075881667021835,0.39656148354212445,0.8465909090909091,0.8666666666666667,0.8298611111111112,0.8370221327967807,0.9211805555555556,0.8925907230888621,0.001
8,head,0.41577780450221313,0.38218652208646137,0.8560606060606061,0.8625,0.8506944444444444,0.8448979591836735,0.9256365740740741,0.8984998985789359,0.001
9,fine_tune,0.39986319440753043,0.37570288822506415,0.8598484848484849,0.8625,0.8576388888888888,0.8483606557377049,0.9294415509259258,0.9058407846743068,1e-05
10,fine_tune,0.3725578375284341,0.3619233640757474,0.8598484848484849,0.8791666666666667,0.84375,0.8508064516129032,0.9325376157407407,0.910186855945262,1e-05
11,fine_tune,0.36813667632777186,0.34786256741393695,0.8693181818181818,0.8958333333333334,0.8472222222222222,0.8617234468937875,0.9374276620370371,0.9183342843264432,1e-05
12,fine_tune,0.3634528595019766,0.34218612042340363,0.8674242424242424,0.9041666666666667,0.8368055555555556,0.8611111111111112,0.9401186342592592,0.9216185506696557,1e-05
13,fine_tune,0.3503581278128554,0.3357394974340092,0.8731060606060606,0.8916666666666667,0.8576388888888888,0.8646464646464647,0.9437789351851852,0.9282695609136367,1e-05
14,fine_tune,0.33990591145511373,0.33360253771146137,0.8712121212121212,0.8666666666666667,0.875,0.859504132231405,0.9459346064814814,0.9318704660136106,1e-05
15,fine_tune,0.33146272525509257,0.3240875687563058,0.875,0.8916666666666667,0.8611111111111112,0.8663967611336032,0.948191550925926,0.9355729966146593,1e-05
